"name","image","url","blurb"
"Canvas of Kings","[img]https://i.imgur.com/D09EppY.jpeg[/img]","https://store.steampowered.com/app/2498570/Canvas_of_Kings/","Not a game but a map-making tool. Very cool."
"BOOM! Buster","[img]https://i.imgur.com/aZujIpl.jpeg[/img]","https://store.steampowered.com/app/2498890/BOOM_Buster/","Never gonna turn down more "Pizza Tower"-style animations."
"@Mehrabehzad","[img]https://i.imgur.com/chybV7u.png[/img]","https://x.com/Mehrabehzad/status/1813242279261577274","Finally. 5 stars in GTA without the ceremony."
"PSYCHOFINGER","[img]https://i.imgur.com/j5hrQq0.jpeg[/img]","https://store.steampowered.com/app/2617870/PSYCHOFINGER/","*Cuphead snapping intensifies*"
"GHOST EATER","[img]https://i.imgur.com/tSqqC9i.jpeg[/img]","https://store.steampowered.com/app/2708620/GHOST_EATER/","Love the look."
"NIGHT-RUNNERS™ PROLOGUE","https://i.imgur.com/ItYsTt4.jpeg","https://store.steampowered.com/app/2707900/NIGHTRUNNERS_PROLOGUE/","Love the grungy VHS aesthetic."
"Shift 87","https://i.imgur.com/j5dQzH3.jpeg","https://store.steampowered.com/app/2981650/Shift_87/","Analog horror puzzler."
"MOTORSLICE","https://i.imgur.com/8vEp964.jpeg","https://store.steampowered.com/app/2830030/MOTORSLICE/","Says it's inspired by 2008 Prince of Persia. Big if true."
"Tricky Madness","https://i.imgur.com/uXVLYuz.jpeg","https://store.steampowered.com/app/2743850/Tricky_Madness/","IT'S TRICKY, IT'S TRICKY"
"Berserk B.I.T.S","https://i.imgur.com/njEtcrR.jpg","https://store.steampowered.com/app/2348540/Berserk_BITS/","Love me some Battle Network anything."
"Dojo Masters","https://i.imgur.com/0En76ZW.jpeg","https://store.steampowered.com/app/2538000/Dojo_Masters/","Divekick with more sauce."
".45 PARABELLUM BLOODHOUND","https://i.imgur.com/rIPPemi.gif","https://sukeban.moe/index.php/2024/07/03/parabellum/","Reminds me of Parasite Eve and Vagrant Story."
"In Stars And Time","https://i.imgur.com/GAXUmdI.jpeg","https://store.steampowered.com/app/1677310/In_Stars_And_Time/","Too many people recommended it."
"UFO 50","https://i.imgur.com/vCN6gTk.jpeg","https://store.steampowered.com/app/1147860/UFO_50/","Spelunky dev makes a 50-in-1. Seems good."
"SPINE","https://i.imgur.com/dqXpWOh.jpeg","https://store.steampowered.com/app/1731290/SPINE/","Gun fu."
"Chicken Police: Into the HIVE!","https://i.imgur.com/LoGMBLz.jpeg","https://store.steampowered.com/app/2362090/Chicken_Police_Into_the_HIVE/","Like the vibe."
"Owl Observatory","https://i.imgur.com/yj87q0h.jpeg","https://store.steampowered.com/app/2633510/Owl_Observatory/","Tentatively like the vibe."
"Core Decay","https://i.imgur.com/ityQg5t.jpeg","https://store.steampowered.com/app/1260940/Core_Decay/","Looks good."
"darkwebSTREAMER","https://i.imgur.com/Vbwdwps.jpeg","https://store.steampowered.com/app/2151810/darkwebSTREAMER/","Looks good."
"Paradise Killer","https://i.imgur.com/hCh4wUK.jpeg","https://store.steampowered.com/app/1160220/Paradise_Killer/","Looks good."
"REPLACED","https://i.imgur.com/QpTpF8Y.jpg","https://store.steampowered.com/app/1663850/REPLACED/","Love the aesthetic."
"CRETE","https://i.imgur.com/igtEtxk.jpeg","https://store.steampowered.com/app/2022610/CRETE/","Kneejerk reaction: SCORN GORN."
"Holstin","https://i.imgur.com/3vUO310.jpeg","https://store.steampowered.com/app/2235430/Holstin/","Love a good isometric look."
"REPOSE","https://i.imgur.com/RiObDv3.jpeg","https://store.steampowered.com/app/3002510/REPOSE/","Solid vibe."
"Kusan: City of Wolves","https://i.imgur.com/v2Kjx4T.jpeg","https://store.steampowered.com/app/1714510/Kusan__City_of_Wolves/","Punch good."
"Samurai Unicorn","https://i.imgur.com/Fdd2mXB.jpeg","https://store.steampowered.com/app/2494020/Samurai_Unicorn/","PSP-core gets me every time."
"The Looter","https://i.imgur.com/WZERQIV.jpeg","https://store.steampowered.com/app/1163020/The_Looter/","I like the look."
"Sorry, We're Closed","https://i.imgur.com/dpXRBeu.jpg","https://store.steampowered.com/app/1796580/Sorry_Were_Closed/","The key art looks very JoJo-coded."
"Spirit of the Samurai","https://i.imgur.com/a7OVYpx.jpeg","https://store.steampowered.com/app/1507120/The_Spirit_of_the_Samurai/",""
"CONSCRIPT","https://i.imgur.com/qtKehWM.jpeg","https://store.steampowered.com/app/1286990/CONSCRIPT/","Liked the vibe."
"GREENFIELD","https://i.imgur.com/nTU9WJF.jpeg","https://store.steampowered.com/app/2284140/GREENFIELD/",""
"Militsioner","https://i.imgur.com/Wv40mj4.jpeg","https://store.steampowered.com/app/1373530/Militsioner/","Very curious about this one."
"Necrophosis","https://i.imgur.com/ToQU7pP.jpg","https://store.steampowered.com/app/2019760/Necrophosis/","Love to see more H.R. Giger inspired stuff."
"Ares Breathes","https://i.imgur.com/A4FI4iO.jpeg","https://store.steampowered.com/app/2833910/Ares_Breathes/",""
"Journey Beyond the Edge of the World","https://i.imgur.com/xmE3CHX.jpeg","https://store.steampowered.com/app/2541750/Journey_Beyond_the_Edge_of_the_World/","Remember the Obra Dinn?"
"Luna Abyss","https://i.imgur.com/XdusT23.jpeg","https://store.steampowered.com/app/1933000/Luna_Abyss/","Control + DOOM?"
"Lorn's Lure","https://i.imgur.com/lTlkMMg.jpeg","https://store.steampowered.com/app/1417930/Lorns_Lure/",""
